gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Gesture1",10,123,0.57386,0.502959,0.228585,-0.604531,0.925683,-0.376543,-0.02209,-0.028648,-0.633824,0.521584,-0.209125,-0.531476,0.566976,-0.726552,0.204338,0.329985,0.181888,-0.870654,0.256141,0.378489,0.880621,-0.463364,0.02142,0.096569
"Gesture1",10,124,0.573852,0.502925,0.228517,-0.604592,0.925808,-0.376295,-0.021879,-0.02804,-0.633617,0.521435,-0.208884,-0.531963,0.566902,-0.726527,0.203984,0.330384,0.18183,-0.87061,0.255727,0.378898,0.880566,-0.463482,0.020948,0.096603
"Gesture1",10,125,0.573846,0.502883,0.228429,-0.604667,0.925922,-0.376067,-0.021745,-0.027431,-0.633401,0.521291,-0.208655,-0.532452,0.56682,-0.726423,0.203767,0.330889,0.181753,-0.870491,0.255441,0.379399,0.880522,-0.463556,0.020508,0.096746
"Gesture1",10,126,0.573847,0.502844,0.228336,-0.604733,0.926033,-0.375849,-0.021556,-0.026813,-0.633177,0.521182,-0.208409,-0.532922,0.566726,-0.726342,0.203523,0.331377,0.181663,-0.870395,0.255117,0.379882,0.88045,-0.463711,0.020058,0.096745
"Gesture1",10,127,0.573866,0.502777,0.228264,-0.604798,0.926155,-0.375612,-0.021173,-0.026217,-0.632963,0.520962,-0.208242,-0.533455,0.566645,-0.726249,0.203263,0.331878,0.181589,-0.870291,0.25477,0.380387,0.880412,-0.463773,0.019603,0.0969
"Gesture1",10,128,0.573901,0.502694,0.228237,-0.604843,0.926275,-0.375379,-0.02066,-0.025736,-0.632819,0.520528,-0.208301,-0.534027,0.566603,-0.726101,0.203041,0.33241,0.181556,-0.870167,0.254433,0.380912,0.880394,-0.463788,0.019134,0.097073
"Gesture1",10,129,0.573924,0.50263,0.228202,-0.604888,0.926385,-0.375164,-0.020138,-0.02531,-0.63264,0.520207,-0.208202,-0.53459,0.566568,-0.725958,0.202817,0.332918,0.181554,-0.870055,0.254105,0.381388,0.880357,-0.463871,0.018649,0.09711
"Gesture1",10,130,0.573922,0.502602,0.228139,-0.604937,0.926483,-0.374974,-0.01964,-0.024902,-0.63245,0.519983,-0.208043,-0.535095,0.566519,-0.725861,0.202588,0.333352,0.181519,-0.869962,0.253807,0.381814,0.880311,-0.463963,0.018209,0.097172
"Gesture1",10,131,0.573906,0.502604,0.228076,-0.604974,0.926573,-0.3748,-0.019177,-0.024547,-0.63229,0.519753,-0.207918,-0.535556,0.566467,-0.725757,0.202422,0.333767,0.181469,-0.869858,0.253586,0.382221,0.880267,-0.464041,0.01779,0.097274
"Gesture1",10,132,0.573882,0.502632,0.228023,-0.604994,0.926648,-0.374657,-0.018732,-0.024258,-0.632168,0.519442,-0.207926,-0.535998,0.566423,-0.725626,0.20234,0.334175,0.181422,-0.869726,0.253484,0.382612,0.880231,-0.464087,0.017396,0.097451
